0: 31,2,34
85: 1129,151,147,81,1149
923: 624,670,572,628,1022
87: 27,83,1313,29,153
88: 1011,1304,1123,29
1093: 1014,451,1146,509
1148: 719,723,671,949,625,675
91: 275,153,1229,1235
1229: 1103,91,1132,1222,1235
93: 1195,1278,28,1106
94: 1142,30,278,26
95: 998,157,33
96: 34,98,100,160
97: 39,35,998,101
98: 96,162,36,102
1248: 140,144,82,1029,944
100: 38,104,164,160,34,96
101: 105,161,165,998,39,97
102: 36,106,3,98,162,166
103: 163,41,167,37
104: 38,100,42,164,168
105: 101,165,39,109,231
106: 102,3,166,170,110
1165: 26,1091,1028,148,1306
1297: 336,1262,1230,1186
109: 231,173,105
110: 48,900,106,170,174
111: 49,45
112: 1027,176,172
1312: 764,804,722,760,800,1145
1250: 1034,763,1276,1038
1221: 992,1173,1182,337,1291
1237: 654,598,905,540,1131,602
117: 177,55,173,51
118: 52,56,190,126
119: 123,183,53
1187: 1269,1019,1232
1257: 1094,1113,813,855,917
1137: 846,1032,1141,882
123: 187,183,939,119
1022: 672,1145,670,923
125: 181,1296,1088,55,63
126: 64,15,130,56,118,190
127: 131,65,191,187,939
128: 
129: 1347,1275,951,942,1095
130: 126,64,190,1138,194,1073
131: 127,321,191,195
132: 1130,1338,144,1244,1256
1342: 210,142,146,970,987
1069: 996,501,1219,1259,391
1203: 1006,1175,1321
1280: 417,421,475,365,425
137: 25,23,1156,141,145,894
1201: 588,644,592,1208,538,534
139: 383,195,143,948
140: 144,1248,1244,1029,200,1268
141: 1156,75,935,137
142: 206,1342,1282,1307,970
143: 1149,964,1112,948,139,383
144: 140,1248,1244,944,132,1338,70
145: 205,894,25,137,83,149
146: 76,970,987,1342
147: 151,211,85,273
148: 1028,1165,1096
149: 1313,271,145,205,83
150: 1253,154,1230,1186,276,214
151: 211,147,28,277,1129,85
1223: 615,980,1002,611
153: 91,275,87,1313,1103
154: 1253,150,1343,84,214,1011
987: 960,146,210,1342,1343,1353
1121: 967,832
157: 95,998,219,161
1007: 1051,1207,804,834,800
1134: 621,453,513,455,1080
160: 164,222,100,96
161: 101,165,998,157,219,223
162: 166,228,220,98,102
163: 103,167,221,225
164: 226,222,168,104,100,160
165: 101,105,161,223,231
166: 162,228,1117,106,102,170
167: 229,163,103,225
168: 164,226,172,230,104
1215: 924,1191,449,1284,1127
170: 174,232,166,1117,106,110
171: 
172: 230,234,1027,112,168
173: 109,1050,117,177,235
174: 170,232,110,900,178,236
1329: 844,1184,1236,852,818
176: 184,1027,112
177: 117,243,173,239,235
178: 182,236,174,900,52
1115: 903,1337,860,1264
1113: 773,1324,813,1094,1257
181: 185,1296,125,55,243,1339
182: 178,236,308,240
183: 123,187,245,119,1016
184: 176,242,58
185: 181,1296,1339,914,251
1132: 1222,993,1123,1229
187: 123,183,939,245,127
1071: 1147,323,259,319,255,975
1117: 166,228,288,292,170,232
190: 248,1138,118,126,130
191: 131,127,321,1063
192: 246,250,1256,1130
193: 951,914,251,1317,255,197
194: 256,252,1138,130,1073
195: 139,1249,383,131,321
196: 1256,200,1315,1244
197: 1095,201,951,193,255,259
984: 1353,1304,80,27
957: 1196,1063,1336,321
200: 204,1268,1315,140,1244,196
201: 1095,263,197,1156,259,894
1275: 129,1347,17,67,1238,72
1016: 241,183,245,305
204: 200,1268,266,1180
205: 145,894,263,267,149,271
206: 210,142,268,893
1098: 721,669,1192,627,677
1095: 201,197,129,951,1156
1302: 1019,885,1099,1231
210: 206,268,1342,987,1253,1343
211: 151,147,277,273,1291
1337: 856,1115,1264
213: 1313,271,1325,1013,275
214: 276,150,154,1011
1067: 481,1234,477
1230: 1297,268,1253,150,1186
1255: 1219,1259,1125,1124,337
1175: 1006,1203,1321,566
219: 279,157,161,223,283
220: 280,284,162,228
221: 225,285,281,163
222: 164,226,160
223: 283,287,219,161,165
1044: 1037,1105,334
225: 221,285,167,229,289,163
226: 164,222,168,230,352
1138: 248,190,130,194,252
228: 162,166,1117,220,284,288
229: 293,289,167,225
230: 172,234,352,226,168
231: 109,105,165,1050
232: 170,174,1117,296,292,236
1177: 1294,1274
234: 172,230,1027,1214
235: 239,173,1050,295,177
236: 178,182,296,174,232,240
1112: 81,82,1306,143,1149,948
1157: 618
239: 235,1271,177,243,307
240: 358,296,182,236,308
241: 1016
242: 246,184
243: 177,239,181,307,1339
998: 95,157,97,101,161
245: 187,183,309,305,1016
246: 192,242,250,310
1167: 475,535,991,539,1335,597
248: 190,1138,308,1178
1219: 1259,1255,1069
250: 1256,314,310,246,192
251: 1317,185,315,914,193
252: 194,256,1138,316
943: 53,49,54,8
1292: 1026,969,1272,745
255: 319,1317,193,197,1071,259
256: 194,252,316,1111
938: 693,685,595,537,635
1335: 539,1167,1251,597
259: 1147,1071,255,263,201,197
1049: 1158,1220,319,1054,975,437
986: 834,836,1207,1252,1330
1281: 729,733,779,1008,954
263: 201,1147,259,205,894,267
1287: 760,798,1031,802,766
1343: 1253,154,210,987,1353
266: 897,1180,890,204
267: 327,385,263,1147,205,271
268: 210,206,1230,1253
964: 143,1149,1087,383
270: 1108,334
271: 213,149,205,267,327,1013
1265: 412,1303,1018,470
273: 1124,211,147,901
971: 353,295,357
275: 91,153,1313,213,1318
276: 214,150,1186
277: 1189,1182,28,151,211,1291
278: 1037,94
279: 341,219,339,281,283
280: 340,220,284
281: 221,285,343,279,339
1008: 1188,946,779,1281,950,954
283: 223,345,287,341,219,279
284: 346,288,280,220,228
285: 221,225,281,343,347,289
1101: 1261,1258,707
287: 223,345,283,349
288: 346,284,1052,228,1117,292
289: 229,293,1197,225,285,347
1264: 860,1115,1337
1207: 1007,1051,1252,834,986
292: 354,296,288,1052,1117,232
293: 229,355,289,1197
1354: 389,393,331,1162
295: 1050,971,235
296: 354,292,232,240,358,236
1052: 346,288,406,354,350,292
1152: 1154,1328,1316,1344
1136: 801,715,1340,719,765
924: 1215,1191,1284,507,922
1014: 1093,565,915,509
1131: 1068,1295,654,1237,1153,602
1227: 664,1114,1060,558
1001: 1104,1252,888,1151
305: 309,245,1016,423
306: 
307: 1107,1339,243,239,1271
308: 182,240,1178,248
309: 371,305,1063,245
310: 368,428,314,250,246
970: 146,76,1307,1217,142,1342
1254: 659,1172,1225,607
1289: 832,967,750,1045
314: 318,432,250,310,428
315: 1107,1054,251,1317
316: 374,378,256,252,1205
980: 1002,1223
318: 314,432,380,322,1315
319: 1054,1317,255,1049,1071,975
1306: 1028,82,1165,1091,81,1112
321: 131,191,1249,195,1336,957
322: 384,890,1315,318,380
323: 1147,1071,975,1066,385
1064: 776,764,808
325: 329,391,996,1055,1017,443
1083: 1114,1202,1309
327: 267,385,1206,271,1013,331
1011: 88,154,84,1304,214
329: 901,325,391,1087,1017
1028: 148,82,1029,1306,1165,1096
331: 1013,327,1206,389,1354
1350: 847,813,956,917
936: 887,1072
334: 1108,270,1044,1037,1105
335: 959,1162,1081
336: 1297,508
337: 1124,1291,1173,1221,1255
1216: 
339: 341,279,281,343,399
340: 280,983,400
341: 279,339,345,283,401
1180: 981,1096,266,204,1268
343: 285,281,347,399,339
1142: 94,30,1195
345: 283,287,341,401,349
346: 284,402,288,406,1052
347: 285,343,289,1197,351
348: 352
349: 345,287,353
350: 354,414,464,406,1052,468
351: 465,411,1197,347,407
352: 348,412,230,226
353: 409,971,349
354: 414,350,296,292,1052,358
355: 293,1197,415,469,411
356: 412,1303
357: 417,421,413,971
358: 240,418,354,414,296
1171: 851,1314,1311,982
1063: 375,957,191,309
1031: 810,802,1287,724,766,966
1272: 831,791,749,745,1026,1292
1210: 1133,1270,1191,507
364: 420,368,424
365: 425,421,1280,1107
1184: 844,1329,876,852
1172: 611,1225,1040,497,1254
368: 310,424,428,364
1143: 1043,820,1024,858,1035
370: 1178,1233,374
371: 309,375,431,427
1059: 682,694,636,640
373: 
374: 378,316,370
375: 1196,1063,379,431,371
1027: 1214,176,172,234,112
1186: 1297,1230,150,276
378: 374,316,438,1205
379: 435,431,439,912,1196,375
380: 318,432,384,322,1078
1122: 1035,854
1135: 794,1209
383: 139,1249,195,143,964,1087
384: 322,890,502,380
385: 267,327,1147,323,1206
386: 1205,442,893
1178: 370,308,248
1340: 799,715,1183,801,1136
389: 393,1127,1354,1246,331
1262: 1297
391: 901,325,329,1259,996,1069
1247: 1213,881
393: 389,1127,1354,449,1081
1234: 481,427,485,477,541,1067
395: 451
396: 
1259: 1219,1255,1124,901,391,1069
1075: 815,1241,1213,849
399: 457,343,339,1080
400: 340,983,458,454
401: 459,341,455,345
402: 346,406,1279,983,516
1323: 1241,823,1240,972
1282: 1111,1307,142
405: 
406: 346,402,1052,516,464,350
407: 457,351,465,521,1288
1072: 887,936,904,883,1305
409: 353,413,467,523
1029: 1028,82,1096,1268,140,1248
411: 351,465,1211,469,355,1197
412: 1265,356,1303,352
413: 409,467,357,417,471
414: 354,350,468,472,418,358
415: 423,469,355
416: 
417: 357,421,1280,413,475,471
418: 358,422,472,414
1206: 1267,1246,327,385,331
420: 364,424,474,478
421: 357,417,1280,1271,365
422: 418,426
423: 415,305,481
424: 368,1176,478,420,364
425: 365,429,1280,487,539
426: 905,540,1233,536,422
427: 481,1234,485,431,371
428: 368,310,314,432,482
429: 425,487,1158,1220
948: 944,1112,143,139
431: 379,435,375,371,427,485
432: 318,314,380,1078,482,428
433: 547,605,487,1220,551,929
1347: 129,1275,72,75
435: 379,431,439,493,549,485
960: 987
437: 975,1066,441,1049,1220,929
438: 496,552,492,378,442
439: 379,435,912,1285,493
1253: 150,1343,154,210,268,1230
441: 437,1066,495,929,1293,1322
442: 386,496,446,438
443: 912,1285,325,996,1273,1055
1244: 140,144,200,196,132
981: 1180,1004,1108,897
446: 496,442,560
447: 990,557,505,501
914: 951,942,193,185,1296,251
449: 1215,1191,393,1127,1133
915: 509,505,1014,565,1009
451: 1125,395,1093,1146
1080: 455,457,399,513,1134
453: 1134,1320,1260,569
454: 1279,512,458,983,400
455: 1080,1134,459,401
1017: 1336,1055,1087,325,329,1249
457: 407,399,513,1288,1080
458: 470,522,454,400
459: 401,455,519
1303: 1265,356,412,1018,1015
967: 1290,1121,1289,832,1045
1038: 1179,1250,865,833
1054: 319,1317,315,1158,1049
464: 516,578,406,928,468,350
465: 351,411,1211,521,525,407
1043: 820,1143,962,784
467: 527,523,531,413,409,471
468: 472,464,414,350
469: 415,355,411,1211
470: 458,522,1018,580,1265
471: 475,535,413,467,531,417
472: 468,414,532,418
473: 1211,525,529
474: 534,530,478,420,1015
475: 471,535,1167,417,1280
959: 335,1318
477: 541,1089,1234,1067,537
478: 474,534,1176,538,424,420
479: 539
1271: 239,421,307
481: 427,1234,423,1067
482: 1176,1078,486,432,428
1351: 979,503,1293
484: 492,602,905,1233
485: 427,1234,435,431,549,541
486: 490,1078,1198,482
487: 539,425,429,547,433
1231: 1228,1085,1269,885,1019,1302
939: 123,187,906,127
490: 1078,486,1198,546
1189: 1182,277,997,1299
492: 484,602,1068,552,438
493: 549,607,435,439
928: 1048,1185,578,464
495: 551,1345,929,1293,441
496: 556,552,446,438,442
497: 1109,1172,1040
922: 1166,1308,924,1284
1352: 590,586,532
917: 851,813,1350,1257
501: 996,1069,1273,447
502: 974,558,562,384
503: 1166,979,1351,1057,1284
1037: 278,1044,334
505: 915,509,1009,990,447
1018: 526,1015,580,1265,1303,470
507: 924,1191,1210
508: 336
509: 915,505,1093,1014,1146
1094: 777,1257,1113,773,731
988: 1030,784,742,962,738,734
512: 454,1279,624,570,574
513: 571,1288,457,1080,621,1134
1060: 1114,714,1224,758,1227
515: 
516: 574,578,464,1279,402,406
1193: 697,745,701,651,1061
1291: 1124,337,1182,277,1221,211
519: 577,459,523
963: 769,675,723,683,1012
521: 579,525,465,407,575,1288
522: 458,470,580,572,576
523: 467,527,577,519,409
1055: 1336,1017,325,912,443,1196
525: 521,579,529,473,465,1211
526: 1018,1015,580,530,584,1298
527: 467,523,531,577,585
1103: 1123,1229,29,153
529: 579,525,473,635
530: 474,534,588,584,526,1015
531: 467,527,585,471,535,589
532: 536,472,1352
1285: 912,443,1273,1109,439
534: 474,530,478,538,588,1201
535: 475,471,1167,531,991,589
536: 532,590,426,540
537: 477,1089,595,938
538: 1176,1208,1201,534,478
539: 479,487,1335,1167,425
540: 426,905,590,536,598,1237
541: 477,1089,1042,549,1234,485
1299: 997,1348,1106,1189
1246: 1267,1057,1206,389,1127
1099: 885,1305,1302
942: 951,914,67,1296,129
546: 1326,1198,664,490
547: 433,605,487,601
962: 824,742,1043,784,988
549: 493,607,435,485,541,1042
1108: 334,270,1004,1105,981
551: 495,1345,929,433,605,1239
552: 496,556,438,1068,492
1332: 1283,871,1183,801,1084
1205: 386,378,316
1030: 784,988,1046,734,636,776
556: 496,552,1218,560
557: 447,615,1109,1040
558: 502,974,1114,562,1227
1046: 1030,784,816,776,812
560: 1218,556,446,618
1296: 181,185,125,942,914
562: 566,1309,502,558
1004: 1105,1108,897,909,981
1224: 714,1060,758
565: 1014,915
566: 562,1309,1006,1175
1202: 714,1083
992: 1173,1221
569: 625,679,453,1260,577
570: 624,973,512,626,574
571: 575,513,1288,1097,1086,621
572: 576,628,522,624,923
1220: 1158,1049,429,433,437,929
574: 516,578,570,1279,512,626
575: 571,1288,521,579,631,1086
576: 572,628,632,1298,580,522
577: 519,679,569,527,523
578: 516,574,464,1185,626,928
579: 521,525,529,631,575
580: 1018,526,1298,576,470,522
1123: 1103,29,88,993,1132
1334: 657,601,605,661,1239
1173: 992,1221,1125,337
584: 1298,588,640,530,526
585: 683,1012,527,531,589
586: 1352,1048,634
1211: 465,411,469,473,525
588: 1201,644,640,534,530,584
589: 641,991,531,585,535
590: 1119,1352,536,598,540
1096: 1180,1028,148,1029,1268
592: 652,1208,648,1118,1201,644
1267: 1322,1057,1246,1206,1066
991: 641,589,695,535,1167,597
595: 651,985,1089,537,938,693
596: 652,1208,660,1198
597: 649,1251,1167,991,695,1335
598: 654,1237,590,1119,540
1042: 541,1089,549,607,985
1179: 1038,904,865,883
601: 657,1334,1251,547,605
602: 484,492,1237,905,1068,1131
1107: 307,315,365
990: 447,505,1009,615
605: 547,433,1334,601,551,1239
1236: 774,966,1333,810,844,1329
607: 493,549,1254,1042
1088: 51,13,55,125
1141: 1137,1032
1318: 959,1325,275
611: 1172,1040,615,1223,1002
978: 946,969,779,741
982: 1150,1171,1311
1185: 626,1243,578,1159,928
615: 1223,990,557,611,1040
1109: 497,1273,557,1285
617: 1226,1308,1070
618: 1218,560,1157
1338: 66,1130,132,144,70
1249: 383,195,1087,1336,1017,321
621: 1134,571,513,1097,1320
1243: 1185,626,973,1139
623: 949,1263,669,1199,671
624: 570,923,572,512
625: 679,569,675,671,1260,1148
626: 1185,1243,570,973,574,578
627: 677,1097,1086,1098,669
628: 572,576,632,674,670,923
1009: 915,505,990
1125: 451,1173,1255,1146
631: 1310,579,575,677,1086
632: 1298,682,674,576,628
979: 1166,503,1351,1345,1226
634: 1159,1048,684,642,586
635: 681,1310,938,685,529
636: 734,694,1030,776,1059
1336: 1055,1017,1249,321,1196,957
965: 750,754,1326,660,702
931: 648,702,738,742
640: 588,644,694,1059,584
641: 991,589,695,902,691
642: 692,732,684,1212,634
1146: 1125,451,1093,509
644: 588,1201,640,592,694,1118
1032: 846,842,1137,1141,1051
1139: 724,766,672,1243
1105: 1004,1044,1108,334
648: 702,931,738,652,592,1118
649: 1251,597,695,653
1114: 1083,1060,1309,1227,558
651: 595,985,1061,697,1193,693
652: 596,592,1208,660,648,702
653: 1090,649,747,703
654: 598,1237,1153,1131
1085: 1228,1231,835,885,1283
1353: 84,984,987,1343
657: 1334,601,703,1023
658: 1161,952,1153,1295
659: 1254,1225,705,701,1061
660: 1326,1198,965,596,652
661: 1286,1239,1334,1023,1261
1078: 490,486,432,380,482
663: 757,898,713,1002
664: 1227,1326,546
1153: 1161,658,1277,654,1131,1295
1118: 734,694,648,738,592,644
1061: 651,985,659,701,1193
1313: 213,149,87,275,153
669: 1098,717,627,1263,623
670: 674,722,628,1022,1145,923
671: 1199,1260,949,623,625,1148
672: 1022,973,766,1139
925: 1328
674: 722,670,682,632,628
675: 625,679,723,1148,683,963
1199: 671,1320,1260,1097,623
677: 627,1086,631,1310,1192,1098
949: 715,1263,623,671,719,1148
679: 625,569,675,577,683
1050: 295,231,173,235
681: 635,1310,685,733,729
682: 1059,632,674
683: 585,1012,679,675,963
684: 1212,728,1159,634,642
685: 938,693,733,635,681
1226: 617,1308,1070,1286,1166,979
687: 691,731,777,1090,739
1127: 389,393,1246,1215,449
1225: 1172,898,1254,659,705
1073: 1238,64,130,194
691: 902,687,641,695
692: 642,732,1119,696,740
693: 938,685,595,651,697
694: 734,1118,636,644,640,1059
695: 641,991,691,649,597
696: 700,1277,1327,740,692,1119
697: 1193,651,693,741
1298: 632,584,526,580,576
1251: 649,597,1335,601
700: 696,1277,740,744,748,1190
701: 749,705,659,1061,1193,745
702: 648,931,965,652
703: 751,747,1023,653,657
704: 794,1209,1161,952,1190,756
705: 749,701,1225,898,1163,659
1213: 1247,1075,849,881
707: 1101,1258
708: 952,756
1149: 143,964,85,81,1112
954: 950,1116,1008,725,1281
1068: 1131,1295,492,602,552
975: 437,1066,319,1049,1071,323
713: 1053,757,663
714: 1224,1202,1060
715: 949,1263,759,1340,719,1136
1269: 1228,1231,1019,879,1232,1187
717: 721,669,763,1263,759
1130: 66,132,1338,1256,192,62
719: 723,1148,765,715,949,1136
1048: 1159,634,928,586
721: 1098,717,725,1116,763
722: 674,670,764,1312,1145
723: 719,1148,765,675,769,963
724: 766,1139,1031,966,728
725: 729,1192,954,1116,721
1222: 1132,1229,1331,1235
1145: 1022,1312,722,670,760
728: 684,1212,724,774,966
729: 1192,725,1281,733,681
1276: 950,1116,1250
731: 902,687,773,1094,777
732: 692,642,1212,778,1346,740
733: 685,681,729,1281
734: 694,1118,636,738,1030,988
1331: 1235,1222
1087: 964,329,1249,383,1017
1045: 750,754,967,1290,1319,1289
738: 648,931,742,988,734,1118
739: 789,821,687,817,777,1090
740: 696,700,1346,692,732,744
741: 779,697,978
742: 824,962,931,738,988
1232: 879,956,1269,1187
744: 748,826,994,1346,700,740
745: 1193,749,701,1272,1292
1209: 794,1135,704,756
747: 751,703,653,1090,789
748: 744,826,700,794,1190
749: 705,701,1163,1272,791,745
750: 965,754,1045,1289
751: 747,703,1023,1341,1258
1019: 1302,1231,1269,1187
753: 968,795,757,1163,791
754: 965,750,1045,1319
952: 1161,658,704,756,708
756: 1209,704,952,708
757: 663,713,1053,968,753
758: 1319,1224,1060
759: 799,717,1034,715,1263
760: 800,798,1287,1312,1145
1090: 653,687,789,739,747
1035: 854,1122,858,1024,1143
763: 1250,1034,1116,721,717
764: 804,1312,808,1064,722
765: 719,723,805,1136,769,916
766: 724,1139,1287,672,1031
1176: 482,538,424,478
993: 1123,1132
769: 963,723,765,916
1147: 1071,323,259,263,267,385
997: 1299,1189
973: 570,672,626,1243
773: 1113,916,731,1094
774: 966,1236,1212,728,778
1053: 713,757,968
776: 1064,1030,1046,636
777: 817,1094,687,731,739
778: 782,818,774,1212,732
779: 741,978,946,1008,1281
985: 595,651,1061,1089,1042
1252: 1104,1001,1151,1207,986
782: 818,778,994,1346
935: 1217,75,141,76
784: 1030,988,1046,962,1043
1256: 250,196,1130,132,192
1074: 827,823
1345: 495,551,1239,979
929: 495,551,1220,433,437,441
789: 821,739,1090,747,892
1228: 1085,1231,1269,1283,871,879
791: 831,1272,1163,753,795,749
1328: 925,1152
1344: 829,892,1341,1154,1152
794: 1209,1135,704,748,1190
795: 968,753,831,791
1086: 627,677,1097,631,575,571
1294: 1177,828,1274,1349
798: 760,800,1287,834,836,802
799: 759,1340,1034,833
800: 760,798,1007,804,1312,834
801: 805,1136,1084,1340,1183,1332
802: 1031,810,836,798,1287,806
1214: 1027,234
804: 764,1312,808,1007,800
805: 801,1084,765,916,1324
806: 1174,1333,1330,836,802
1238: 1073,72,64,17,1275
808: 764,804,842,1064,812
1151: 888,1001,1252
810: 1031,802,1333,966,1236
1026: 1240,969,1292,831,1272,827
812: 1046,846,842,816,808
813: 847,843,1350,1113,1257,917
1346: 782,732,744,740
815: 1075,1188,849,845
816: 846,820,1046,812
817: 777,855,821,739,1300
818: 782,778,1329,903,852
1307: 1111,1282,1217,142,970
820: 1043,1024,1143,816
821: 789,1316,739,817,1300,892
968: 753,795,1053,757
823: 1323,827,1074,1240
824: 742,962,828,862
1023: 751,703,657,661,1261,1258
826: 744,748,994,860
827: 1074,831,1026,1240,823
828: 1294,832,862,824
829: 1341,1344,1154
1348: 1299,1106
831: 1272,791,795,827,1026
832: 1289,967,828,1121
833: 835,865,1183,1038,799
834: 986,836,1007,1207,800,798
835: 865,833,1183,1085
836: 834,986,798,806,1330,802
1097: 627,1086,571,621,1199,1320
1305: 883,885,1072,1099
1124: 273,337,1291,1259,1255,901
961: 1129,1091,30,1278,26
1084: 801,805,1332,1324,843
842: 846,1032,812,1051,808
843: 847,813,1084,871,1324
844: 1184,1329,1174,1333,1236
845: 849,873,815
846: 842,1137,816,1032,812
847: 843,813,1350,871,879,956
996: 501,1069,1273,325,391,443
849: 845,1075,815,1213,881
1333: 1174,806,810,844,1236
851: 855,917,1171,1314
852: 903,1184,1329,818
1129: 961,85,1091,1278,28,151
854: 1035,1122,1024,882
855: 851,817,1257,1314,1300
856: 1337
1300: 859,1314,817,855,821,1316
858: 862,1349,1035,1143
859: 1314,1311,1300,1316
860: 1264,1115,903,994,826
1295: 1068,1131,658,1153
862: 858,828,824
944: 948,144,1248,70
1174: 806,1333,872,844
865: 835,833,1038,1179,883
1106: 93,1195,1348,1299
1111: 1282,1307,256
1321: 1175,1203
1015: 1018,526,474,530,1303
1304: 84,984,27,88,1011,29
871: 1283,1332,1228,847,843,879
872: 1174
873: 845,989,904
1290: 967,1319,1045
972: 1240,969,1323,946
876: 1076,1184
1263: 715,949,623,669,717,759
1119: 590,692,696,598
879: 956,1232,871,1228,1269,847
1277: 696,700,1327,1161,1153,1190
881: 989,1213,1247,849
882: 854,1024,1137
883: 1305,1179,1072,865
1034: 1250,763,759,799
885: 1305,1099,1085,1231,1302
886: 1104,1330
887: 936,1072,904,989
888: 1151,1001
890: 384,322,266
1197: 355,293,289,351,411,347
892: 1341,1344,789,821,1316
893: 386,206
894: 145,205,1156,263,201,137
1012: 585,683,963,902
1212: 684,728,774,778,642,732
897: 909,266,1004,981
898: 663,1163,1225,705
1218: 556,618,560
900: 110,48,174,178,52
901: 329,391,273,1124,1259
902: 691,731,1012,641
903: 1115,852,818,994,860
904: 887,1072,873,989,1179
905: 426,540,1233,1237,484,602
906: 20,66,16,939
1308: 617,1226,1166,922
1258: 1261,1101,751,1023,707
909: 897,1006,1004
956: 879,1232,847,1350
911: 1217,75,72
912: 1285,443,1055,1196,379,439
950: 1276,954,1188,1008
951: 942,914,193,129,1095,197
974: 502,558
966: 774,1236,1031,810,724,728
969: 1026,1240,1292,972,978
1133: 1210,1270,1191,449,1181
1150: 982,1311
1154: 1152,829,1344
1349: 1274,1294,858
1156: 141,1095,201,137,894
1158: 1049,1220,429,1054
1159: 1048,634,1185,684
1270: 1133,1210,1181
1161: 952,658,1153,1190,1277,704
1162: 335,1325,1354,1081
1163: 898,753,749,705,791
1164: 
1166: 979,503,1226,1308,1284,922
1181: 1081,1133,1270
1182: 1189,277,1221,1291
1183: 835,833,1340,801,1332
1188: 946,1008,815,950
1190: 1161,748,700,1277,794,704
1191: 1215,924,449,507,1133,1210
1192: 729,725,1310,677,1098
1273: 996,501,1285,443,1109
1195: 93,1278,1106,1142,30
1196: 375,957,1336,1055,912,379
1233: 426,905,370,484
1235: 1331,1229,91,1222
1239: 661,1286,605,1334,551,1345
1240: 1026,969,972,827,823,1323
1241: 1323,1075
1242: 
1278: 93,1195,28,30,1129,961
1279: 454,512,983,516,574,402
1283: 871,1332,1228,1085
1284: 1215,924,1166,503,922
1286: 661,1070,1239,1226
1288: 575,571,513,521,457,407
1309: 562,566,1083,1114
1310: 635,681,631,1192,677
1311: 859,1314,1171,982,1150
1314: 859,1311,1300,851,855,1171
1315: 200,322,318,196
1316: 821,859,1300,892,1152
1317: 319,1054,251,255,315,193
1319: 758,1290,754,1045
1320: 1199,1260,1097,621,453
1322: 1267,1057,1066,441,1293
1324: 1113,916,805,1084,843
1325: 1013,213,1162,1318
1326: 660,1198,546,664,965
1327: 696,1277
1330: 806,986,836,886
1341: 829,892,1344,751
